-> ulimit -n 100000
-> go run -exec sudo ./cmd/utrace -executable /home/matt/github/utrace/tracee/tracee |tee log.txt

could not attach uprobe to symbol runtime.etext: creating perf_uprobe PMU: symbol 'runtime.etext' not found: file does not exist
runtime.(*fixalloc).alloc 1 460867170837288 12093113378994
runtime.(*fixalloc).alloc 1 460867170837288 12093113381677
runtime.(*fixalloc).alloc 1 460867170837288 12093113384074
runtime.(*fixalloc).alloc 1 460867170837288 12093113386648
runtime.(*fixalloc).alloc 1 460867170837288 12093113389093
runtime.(*fixalloc).alloc 1 460867170837288 12093113391629
runtime.(*fixalloc).alloc 1 460867170837288 12093113393997
runtime.(*fixalloc).alloc 1 460867170837288 12093113396231
runtime.(*fixalloc).alloc 1 460867170837288 12093113398426
runtime.(*fixalloc).alloc 1 460867170837288 12093113400952
runtime.(*fixalloc).alloc 1 460867170837288 12093113403415
runtime.(*fixalloc).alloc 1 460867170837288 12093113406030
runtime.(*fixalloc).alloc 1 460867170837288 12093113408342
runtime.(*fixalloc).alloc 1 460867170837288 12093113410979
runtime.(*fixalloc).alloc 1 460867170837288 12093113413386
runtime.(*fixalloc).alloc 1 460867170837288 12093113415835
runtime.(*fixalloc).alloc 1 460867170837288 12093113418136
runtime.(*fixalloc).alloc 1 460867170837288 12093113420636
runtime.(*fixalloc).alloc 1 460867170837288 12093113423009
runtime.(*fixalloc).alloc 1 460867170837288 12093113425292
runtime.(*fixalloc).alloc 1 460867170837288 12093113427479
runtime.(*fixalloc).alloc 1 460867170837288 12093113429897
runtime.(*fixalloc).alloc 1 460867170837288 12093113432131
runtime.(*fixalloc).alloc 1 460867170837288 12093113434563
runtime.(*fixalloc).alloc 1 460867170837288 12093113437014
runtime.(*fixalloc).alloc 1 460867170837288 12093113439433
runtime.(*fixalloc).alloc 1 460867170837288 12093113441994
runtime.(*fixalloc).alloc 1 460867170837288 12093113444283
runtime.(*fixalloc).alloc 1 460867170837288 12093113446806
runtime.(*fixalloc).alloc 1 460867170837288 12093113449238
runtime.getRandomData 1 460867170837288 12093113452137
runtime.memmove 1 460867170837288 12093113454784
runtime.extendRandom 1 460867170837288 12093113457471
runtime.mcommoninit 1 460867170837288 12093113460537
runtime.lock2 1 460867170837288 12093113463019
runtime.mReserveID 1 460867170837288 12093113465554
runtime.checkmcount 1 460867170837288 12093113468139
runtime.memhash64 1 460867170837288 12093113470941
runtime.memhash64Fallback 1 460867170837288 12093113473747
runtime.cputicks.abi0 1 460867170837288 12093113477950
runtime.memhash64 1 460867170837288 12093113480721
runtime.memhash64Fallback 1 460867170837288 12093113483163
runtime.mpreinit 1 460867170837288 12093113486124
runtime.malg 1 460867170837288 12093113488948
runtime.newobject 1 460867170837288 12093113491830
runtime.mallocgc 1 460867170837288 12093113494768
runtime.(*mcache).nextFree 1 460867170837288 12093113497374
runtime.(*mspan).nextFreeIndex 1 460867170837288 12093113500049
runtime.(*mcache).refill 1 460867170837288 12093113503026
runtime.(*mcentral).cacheSpan 1 460867170837288 12093113505842
runtime.deductSweepCredit 1 460867170837288 12093113508414
runtime.(*spanSet).pop 1 460867170837288 12093113513332
runtime.(*spanSet).pop 1 460867170837288 12093113515643
runtime.(*spanSet).pop 1 460867170837288 12093113517967
runtime.(*mcentral).grow 1 460867170837288 12093113520620
runtime.(*mheap).alloc 1 460867170837288 12093113523635
runtime.systemstack.abi0 1 460867170837288 12093113526102
runtime.(*mheap).alloc.func1 1 460867170837288 12093113528551
runtime.(*mheap).reclaim 1 460867170837288 12093113531029
runtime.(*mheap).allocSpan 1 460867170837288 12093113534020
runtime.lock2 1 460867170837288 12093113536585
runtime.(*pageAlloc).alloc 1 460867170837288 12093113539462
runtime.(*mheap).grow 1 460867170837288 12093113541955
runtime.(*mheap).sysAlloc 1 460867170837288 12093113544699
runtime.(*linearAlloc).alloc 1 460867170837288 12093113547506
runtime.mmap 1 460867170837288 12093113550259
runtime.sysMmap.abi0 1 460867170837288 12093113552876
runtime.persistentalloc 1 460867170837288 12093113558259
runtime.systemstack.abi0 1 460867170837288 12093113560730
runtime.persistentalloc.func1 1 460867170837288 12093113563079
runtime.persistentalloc1 1 460867170837288 12093113565381
runtime.sysAlloc 1 460867170837288 12093113568147
runtime.mmap 1 460867170837288 12093113570519
runtime.sysMmap.abi0 1 460867170837288 12093113574436
runtime.(*sysMemStat).add 1 460867170837288 12093113579907
runtime.(*linearAlloc).alloc 1 460867170837288 12093113589623
runtime.persistentalloc 1 460867170837288 12093113592264
runtime.systemstack.abi0 1 460867170837288 12093113594644
runtime.persistentalloc.func1 1 460867170837288 12093113597036
runtime.persistentalloc1 1 460867170837288 12093113599742
runtime.sysAlloc 1 460867170837288 12093113602206
runtime.mmap 1 460867170837288 12093113604615
runtime.sysMmap.abi0 1 460867170837288 12093113606912
runtime.(*sysMemStat).add 1 460867170837288 12093113610955
runtime.persistentalloc 1 460867170837288 12093113613460
runtime.systemstack.abi0 1 460867170837288 12093113615846
runtime.persistentalloc.func1 1 460867170837288 12093113618331
runtime.persistentalloc1 1 460867170837288 12093113621061
runtime.lock2 1 460867170837288 12093113623664
runtime.unlock2 1 460867170837288 12093113626162
runtime.(*sysMemStat).add 1 460867170837288 12093113628485
runtime.(*sysMemStat).add 1 460867170837288 12093113631122
runtime.memmove 1 460867170837288 12093113634673
runtime.sysMap 1 460867170837288 12093113647192
runtime.(*sysMemStat).add 1 460867170837288 12093113654874
runtime.mmap 1 460867170837288 12093113657160
runtime.sysMmap.abi0 1 460867170837288 12093113659333
runtime.(*consistentHeapStats).acquire 1 460867170837288 12093113669737
runtime.lock2 1 460867170837288 12093113677137
runtime.(*consistentHeapStats).release 1 460867170837288 12093113687416
runtime.unlock2 1 460867170837288 12093113694789
runtime.(*pageAlloc).grow 1 460867170837288 12093113697532
runtime.(*pageAlloc).sysGrow 1 460867170837288 12093113700579
runtime.(*addrRanges).findSucc 1 460867170837288 12093113703882
runtime.makeAddrRange 1 460867170837288 12093113707090
runtime.(*pageAlloc).sysGrow.func1 1 460867170837288 12093113710806
runtime.sysMap 1 460867170837288 12093113713493
runtime.(*sysMemStat).add 1 460867170837288 12093113716091
runtime.mmap 1 460867170837288 12093113718475
runtime.sysMmap.abi0 1 460867170837288 12093113720863
runtime.sysHugePage 1 460867170837288 12093113729389
runtime.makeAddrRange 1 460867170837288 12093113736653
runtime.(*pageAlloc).sysGrow.func1 1 460867170837288 12093113739223
runtime.sysMap 1 460867170837288 12093113741586
runtime.(*sysMemStat).add 1 460867170837288 12093113744260
runtime.mmap 1 460867170837288 12093113747182
runtime.sysMmap.abi0 1 460867170837288 12093113749457
runtime.sysHugePage 1 460867170837288 12093113757008
runtime.makeAddrRange 1 460867170837288 12093113764508
runtime.(*pageAlloc).sysGrow.func1 1 460867170837288 12093113766892
runtime.sysMap 1 460867170837288 12093113769296
